tytul,cena,cena_za_metr,powierzchnia_dom,powierzchnia_dzialka,pietra,rynek,ilosc_sypialni,rok_budowy,typ,warunki,okna
Bliźniak Po Remoncie Poznań Antoninek,699000.0,5825.0,120.0,460.0,1 piętro,wtórny,4, 1982 , bliźniak, do zamieszkania, plastikowe
Dom wolnostojący podpiwniczony z garażem Poznań,640000.0,3004.69,213.0,446.0,1 piętro,wtórny,5, 1982 , wolnostojący, do zamieszkania, drewniane
"Dom, 144 m², Poznań",629000.0,4368.06,144.0,380.0,2 piętra,pierwotny,5, 2017 , bliźniak, do zamieszkania, plastikowe
"Dom, 144 m², Poznań",629000.0,4368.06,144.0,380.0,2 piętra,pierwotny,5, 2017 , bliźniak, do zamieszkania, plastikowe
"Dom, 144 m², Poznań",629000.0,4368.06,144.0,380.0,2 piętra,pierwotny,5, 2017 , bliźniak, do zamieszkania, plastikowe
Piękny dom z miejscem postojowym !,362000.0,5027.78,72.0,150.0,1 piętro,wtórny,4, 2018 , szeregowiec, do wykończenia, plastikowe
"Dom, 120 m², Poznań",699000.0,5825.0,120.0,460.0,1 piętro,wtórny,4, 1982 , bliźniak, do zamieszkania, plastikowe
"Willa miejska Poznań, ul. Radłowa OKAZJA",710000.0,3736.84,190.0,500.0,1 piętro,pierwotny,5, 2018 , wolnostojący, do wykończenia, plastikowe
"Super funkcjonalny dom z OGRODEM, Wszędzie BLISKO",415000.0,5690.39,72.93,243.88,1 piętro,pierwotny,4, 2016 , szeregowiec, do wykończenia, plastikowe
Dom z ogrodem w cenie mieszkania 10 min od centrum,315000.0,3150.0,100.0,300.0,1 piętro,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
Osiedle zamknięte Poznań- Szczepankowo (promocja),480000.0,3455.47,138.91,224.0,2 piętra,pierwotny,4, 2018 , bliźniak, do wykończenia, plastikowe
NOWE domy wolnostojące w dobrej cenie 3 394zł/m2,465000.0,3394.16,137.0,427.0,1 piętro,pierwotny,4, 2017 , wolnostojący, do wykończenia, plastikowe
Szczepankowo - domy 4 i 5 pokojowe z ogrodami MDM,349000.0,4140.47,84.29,190.0,1 piętro,pierwotny,4, 2018 , szeregowiec, do wykończenia, plastikowe
* Komfortowy dom * niezależne biuro * duży garaż *,750000.0,3000.0,250.0,222.0,1 piętro,wtórny,6, 1997 , szeregowiec, do zamieszkania, drewniane
"Dom, 153 m², Poznań",659000.0,4307.19,153.0,750.0,1 piętro,wtórny,5, 2017 , bliźniak, do wykończenia, drewniane
"Dom, 169 m², Poznań",799000.0,4727.81,169.0,740.0,n/a,wtórny,5, 2005 , wolnostojący, do zamieszkania, plastikowe
"Solidny, przytulny dom w granicy Poznania !",362000.0,5027.78,72.0,150.0,1 piętro,pierwotny,4, 2018 , szeregowiec, do wykończenia, plastikowe
"Dom, 70 m², Poznań",430000.0,6142.86,70.0,2189.0,parterowy,wtórny,2, 1930 , wolnostojący, do wykończenia, plastikowe
"Dom, 78,40 m², Poznań",479000.0,6109.69,78.4,205.0,2 piętra,wtórny,4, 2016 , bliźniak, do wykończenia, plastikowe
Poznań - 20 minut od Poznania parterowy z 2000r,599000.0,4278.57,140.0,1200.0,n/a,wtórny,4, 2016 , bliźniak, do wykończenia, plastikowe
Poznań Ogrody Ławica -blisko Centrum i Ławica,729000.0,4050.0,180.0,300.0,n/a,wtórny,5, 2016 , bliźniak, do wykończenia, plastikowe
Poznań Podolany 1km - nowe domy rewelacyjne miejsc,619000.0,4761.54,130.0,300.0,n/a,wtórny,5, 2016 , bliźniak, do wykończenia, plastikowe
